id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,broad_sector,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,interest_coverage_percentile,asset_turnover_percentile,free_cash_flow_cr_percentile,debt_to_equity_percentile
1,ABB,Dec 2012,8.77,12.0,22.41,0.0,,1.8225,42.0,59.0,68.0,3.081,25.0,0,101.0,Industrials,58.992805755395686,40.28776978417266,,75.53956834532374,39.568345323741006,91.72661870503597
2,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,11.0,144.0,93.0,3.7524,25.0,0,155.0,Industrials,66.54676258992805,39.20863309352518,,76.61870503597122,38.1294964028777,91.72661870503597
3,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,0.0,0.0,93.0,3.7524,25.0,0,0.0,Industrials,66.54676258992805,39.20863309352518,,76.61870503597122,37.410071942446045,91.72661870503597
4,ABB,Mar 2015,10.0,14.0,24.44,0.0,,1.6659,28.0,187.0,108.0,4.4619,29.0,0,215.0,Industrials,65.10791366906474,49.280575539568346,,73.02158273381295,38.84892086330935,91.72661870503597
5,ABB,Mar 2015,10.0,14.0,24.44,0.0,,1.6659,-1899.0,1864.0,108.0,4.4619,29.0,0,-35.0,Industrials,65.10791366906474,49.280575539568346,,73.02158273381295,20.14388489208633,91.72661870503597
6,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,172.0,77.0,120.0,5.6905,29.0,0,249.0,Industrials,53.597122302158276,47.122302158273385,80.97014925373134,71.58273381294964,43.16546762589928,91.72661870503597
7,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,728.0,816.0,120.0,5.6905,29.0,0,1544.0,Industrials,53.597122302158276,47.122302158273385,80.97014925373134,71.58273381294964,63.30935251798561,91.72661870503597
8,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,152.0,155.0,130.0,6.6048,31.0,0,307.0,Industrials,49.280575539568346,44.24460431654676,89.92537313432835,66.54676258992805,41.007194244604314,91.72661870503597
9,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,459.0,1730.0,130.0,6.6048,31.0,0,2189.0,Industrials,49.280575539568346,44.24460431654676,89.92537313432835,66.54676258992805,51.798561151079134,91.72661870503597
10,ABB,Mar 2018,12.16,16.0,23.69,0.0,160.5,1.3651,-62.0,215.0,189.0,8.0619,29.0,0,153.0,Industrials,62.23021582733813,57.194244604316545,84.70149253731343,65.10791366906474,35.97122302158273,91.72661870503597
11,ABB,Mar 2018,12.16,16.0,23.69,0.0,160.5,1.3651,-994.0,3192.0,189.0,8.0619,29.0,0,2198.0,Industrials,62.23021582733813,57.194244604316545,84.70149253731343,65.10791366906474,26.618705035971225,91.72661870503597
12,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,242.0,257.0,212.0,9.5619,31.0,0,499.0,Industrials,58.992805755395686,59.352517985611506,96.64179104477611,62.23021582733813,47.482014388489205,91.72661870503597
13,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,-459.0,3050.0,212.0,9.5619,31.0,0,2591.0,Industrials,58.992805755395686,59.352517985611506,96.64179104477611,62.23021582733813,30.935251798561154,91.72661870503597
14,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,225.0,401.0,279.0,11.5762,90.0,175,626.0,Industrials,63.66906474820144,65.10791366906474,75.74626865671642,55.03597122302158,46.76258992805755,59.352517985611506
15,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,-206.0,5643.0,279.0,11.5762,90.0,175,5437.0,Industrials,63.66906474820144,65.10791366906474,75.74626865671642,55.03597122302158,33.093525179856115,59.352517985611506
16,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0,Industrials,69.42446043165468,70.86330935251799,65.29850746268657,52.15827338129496,61.87050359712231,62.94964028776979
17,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,-225.0,4009.0,325.0,12.3905,85.0,153,3784.0,Industrials,69.42446043165468,70.86330935251799,65.29850746268657,52.15827338129496,32.37410071942446,62.94964028776979
18,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0,Industrials,71.58273381294964,72.3021582733813,67.53731343283582,56.4748201438849,56.11510791366906,65.10791366906474
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0,Industrials,71.58273381294964,72.3021582733813,67.53731343283582,56.4748201438849,42.44604316546763,65.10791366906474
20,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0,Industrials,73.02158273381295,76.61870503597122,74.25373134328358,57.9136690647482,65.46762589928058,68.70503597122303
21,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,-922.0,4699.0,447.0,15.181,73.0,113,3777.0,Industrials,73.02158273381295,76.61870503597122,74.25373134328358,57.9136690647482,28.05755395683453,68.70503597122303
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,Industrials,74.46043165467626,79.49640287769785,82.46268656716418,53.597122302158276,67.62589928057554,73.38129496402877
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0,Industrials,74.46043165467626,79.49640287769785,82.46268656716418,53.597122302158276,69.7841726618705,73.38129496402877
24,ADANIENSOL,Mar 2014,,,0.0,0.0,,,0.0,0.0,0.0,0.1,,0,0.0,Energy,8.588957055214724,,,,33.12883435582822,99.38650306748467
25,ADANIENSOL,Mar 2015,-5.34,78.0,-0.65,8.9575,1.4247,0.0114,-1899.0,1864.0,0.0,0.0994,0.0,9701,-35.0,Energy,7.975460122699387,4.938271604938271,6.172839506172839,0.6172839506172839,21.472392638036812,3.067484662576689
26,ADANIENSOL,Mar 2016,16.77,88.0,13.77,3.2129,2.0867,0.1868,728.0,816.0,3.0,0.2429,0.0,8585,1544.0,Energy,64.41717791411043,74.07407407407408,16.666666666666664,29.01234567901235,39.263803680981596,12.883435582822088
27,ADANIENSOL,Mar 2017,14.46,69.0,14.12,3.0455,2.2179,0.2245,459.0,1730.0,4.0,0.2679,0.0,8975,2189.0,Energy,65.6441717791411,69.1358024691358,19.1358024691358,31.48148148148148,38.036809815950924,14.110429447852752
28,ADANIENSOL,Mar 2018,28.98,72.0,18.87,1.7216,3.3149,0.2284,-994.0,3192.0,10.0,0.5506,0.0,10428,2198.0,Energy,86.50306748466258,83.33333333333334,32.098765432098766,32.098765432098766,26.993865030674847,36.809815950920246
29,ADANIENSOL,Mar 2019,7.649999999999999,38.0,6.950000000000001,2.5037,2.2387,0.2244,-459.0,3050.0,5.0,0.7312,0.0,20137,2591.0,Energy,19.018404907975462,41.9753086419753,19.753086419753085,30.864197530864196,28.834355828220858,23.31288343558282
30,ADANIENSOL,Mar 2020,6.18,37.0,8.309999999999999,2.8528,2.0192,0.2875,-206.0,5643.0,7.0,0.7726,0.0,24246,5437.0,Energy,23.92638036809816,33.95061728395062,14.19753086419753,37.65432098765432,31.901840490797547,17.791411042944787
31,ADANIENSOL,Mar 2021,13.0,40.0,14.46,3.0379,2.3925,0.2296,-225.0,4009.0,11.0,0.8108,0.0,27095,3784.0,Energy,67.48466257668711,63.580246913580254,22.839506172839506,32.71604938271605,31.28834355828221,14.723926380368098
32,ADANIENSOL,Mar 2022,10.98,37.0,12.47,3.0164,2.3222,0.2372,161.0,3936.0,11.0,0.9012,0.0,29902,4097.0,Energy,53.37423312883436,58.0246913580247,21.604938271604937,33.33333333333333,36.19631901840491,15.33742331288343
33,ADANIENSOL,Mar 2023,9.64,34.0,10.9,2.9168,2.1938,0.2465,-922.0,4699.0,11.0,1.0537,0.0,34270,3777.0,Energy,42.944785276073624,50.0,18.51851851851852,33.95061728395062,27.607361963190186,17.177914110429455
34,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070,6038.0,Energy,31.28834355828221,38.88888888888889,20.98765432098765,37.03703703703704,42.331288343558285,16.56441717791411
